LEI_Code,Period,CET1_capital,RWA,total_assets,Name,Country,CET1_ratio
0W2PZJM8XOY22M4GG883,2024-09-01,5667.38693617,30769.68617154,94984.87649245,DekaBank Deutsche Girozentrale,DE,18.418734934683773
0W2PZJM8XOY22M4GG883,2024-12-01,6103.54143646,30814.45360967,92935.12424144,DekaBank Deutsche Girozentrale,DE,19.807397897669116
0W2PZJM8XOY22M4GG883,2025-03-01,6193.37130057,28815.09068618,94158.3147836,DekaBank Deutsche Girozentrale,DE,21.493499250170334
0W2PZJM8XOY22M4GG883,2025-06-01,6102.37281472,28965.35749421,96079.97843525,DekaBank Deutsche Girozentrale,DE,21.067831860662615
2138008AVF4W7FMW8W87,2024-09-01,954.745084316523,4975.64690948133,18596.1117166804,CEC BANK SA,RO,19.188360864136303
2138008AVF4W7FMW8W87,2024-12-01,1122.63708178236,5266.91125555022,19985.8020213899,CEC BANK SA,RO,21.314904073983325
2138008AVF4W7FMW8W87,2025-03-01,1099.06894637439,5269.9362335299,19949.9424164674,CEC BANK SA,RO,20.85545057227786
2138008AVF4W7FMW8W87,2025-06-01,1300.55674726789,5426.02273299826,19594.3948884513,CEC BANK SA,RO,23.96887759718693
2138009Y59EAR7H1UO97,2024-09-01,494.82158012,2466.90306229,4943.98366544,"Akciju sabiedrība ""Citadele banka""",LV,20.058412009941826
2138009Y59EAR7H1UO97,2024-12-01,506.12126148,2644.19912573,5074.01407640999,"Akciju sabiedrība ""Citadele banka""",LV,19.140814946766614
2138009Y59EAR7H1UO97,2025-03-01,507.48574222,2568.36502775,4942.46024879,"Akciju sabiedrība ""Citadele banka""",LV,19.75909719751089
2138009Y59EAR7H1UO97,2025-06-01,528.79346155,2608.02961657,5032.17057082,"Akciju sabiedrība ""Citadele banka""",LV,20.275592661614507
213800DBQIB6VBNU5C64,2024-09-01,4741.71737463261,31231.5586172111,73501.007852,Alpha Bank S.A.,GR,15.182455133761854
213800DBQIB6VBNU5C64,2024-12-01,4921.19190488436,30279.0939125782,70908.498903,Alpha Bank S.A.,GR,16.25277136460168
213800DBQIB6VBNU5C64,2025-03-01,4933.85299057,30398.91033484,71992.053259,Alpha Bank S.A.,GR,16.230361339351504
213800DBQIB6VBNU5C64,2025-06-01,4920.87370008999,30604.47889941,72269.488872,Alpha Bank S.A.,GR,16.078933140027605
213800HDJ876ACJXXD05,2024-09-01,1058.41848,5986.0465661,8515.51542036,AIKGROUP (CY) LIMITED,SI,17.681427438169358
213800HDJ876ACJXXD05,2024-12-01,1062.27532013,6108.54194758,8893.23120116,AIKGROUP (CY) LIMITED,SI,17.389997960983766
213800HDJ876ACJXXD05,2025-03-01,1146.19974924,6062.6647394,8568.99074649,AIKGROUP (CY) LIMITED,SI,18.905873877390675
213800HDJ876ACJXXD05,2025-06-01,1149.06242268,6868.04857957,9795.48457334,AIKGROUP (CY) LIMITED,SI,16.730551762520314
213800TC9PZRBHMJW403,2024-09-01,212.06289797,1316.96824396,5135.64828953,MDB Group Limited,MT,16.102354703128356
213800TC9PZRBHMJW403,2024-12-01,218.48657814,1329.1996672,5073.465,MDB Group Limited,MT,16.43745356935341
213800TC9PZRBHMJW403,2025-03-01,212.93002514,1195.56457908,5081.24008,MDB Group Limited,MT,17.809997792327703
213800TC9PZRBHMJW403,2025-06-01,214.33523446,1261.3884398,5118.91713805,MDB Group Limited,MT,16.992008781528394
